"createdAt";"updatedAt";"sec_id";"sec_name";"sec_description";"sec_typ";"sec_label_key";"parent_sec_id"
"";"";"g101";"primary_info";"primary information";"P";"label.primary.info";"null"
"";"";"g102";"company_info";"company information";"P";"label.company.info";"null"
"";"";"g103";"address_info";"address information";"P";"label.address.info";"null"
"";"";"g104";"social_info";"social information";"P";"label.social.info";"null"
"";"";"g105";"secondary_1_info";"secondary information";"P";"label.secondary.1.info";"null"
"";"";"g106";"secondary_2_info";"secondary information";"P";"label.secondary.2.info";"null"
"";"";"g107";"other_info";"other information";"P";"label.other.info";"null"
"";"";"g201";"action_section";"page_actions";"C";"label.page.actions.nolabel";"null"
"";"";"g202";"grid_section";"grid_section";"G";"label.page.grid.nolabel";"null"
